{17180205877, 249}
{25769966263, 421}
{25769863014, 244}
{17180205922, 316}
{17180205427, 678}
{17180036137, 572}
{17180205878, 249}
{42949884310, 270}
{17180036138, 555}
{17180205879, 246}
{17180205428, 744}
{17180205923, 256}
{25769966264, 420}
{25769863015, 240}
{17180036139, 539}
{42949884311, 287}
{25769863016, 235}
{25769966265, 418}
{17180205429, 747}
{42949884312, 302}
{25769863017, 234}
{25769966266, 408}
{25769966310, 506}
{25769966311, 509}
{25769863018, 225}
{42949884313, 301}
{25769966267, 406}
{25769966268, 411}
{25769966312, 509}
{25769863019, 220}
{42949884314, 299}
{17180205810, 536}
{25769966313, 509}
{25769966269, 460}
{42949884315, 272}
{60129818360, 248}
{17180205811, 530}
{25769966314, 509}
{17180205812, 424}
{25769966315, 509}
{60129818361, 241}
{25769966316, 509}
{17180205813, 386}
{34360126404, 407}
{25769966317, 509}
{17180205814, 374}
{17180205815, 370}
{25769863240, 216}
{17180205040, 580}
{25769966318, 509}
{34360126405, 466}
{17180205041, 585}
{25769965310, 303}
{34360126406, 465}
{25769966319, 509}
{17180205816, 363}
{25769863241, 236}
{17180085749, 204}
{17180205817, 354}
{25769965311, 305}
{34360126407, 453}
{17180205042, 588}
{51539741890, 277}
{25769863242, 243}
{51539650720, 202}
{17180205043, 591}
{17179872320, 243}
{25769965312, 314}
{51539741891, 288}
{34360126408, 437}
{17180205818, 343}
{25769863243, 245}
{25769965313, 320}
{34360126409, 421}
{17180205819, 336}
{25769863244, 252}
{51539741892, 304}
{51539650721, 205}
{17180205044, 596}
{17179872321, 240}
{25769863245, 257}
{25769965314, 321}
{17179872322, 231}
{17180205045, 619}
{8590329490, 208}
{51539741893, 301}
{25769965315, 321}
{42949924870, 336}
{17180168831, 420}
{25769863246, 260}
{51539741894, 293}
{17179872323, 221}
{17180205046, 647}
{17180265455, 203}
{8590329491, 209}
{60129590480, 219}
{8590329492, 210}
{51539741895, 274}
{42949924871, 337}
{17180168832, 306}
{42949884380, 236}
{25769863247, 264}
{17180265456, 208}
{25769965316, 320}
{60129590481, 213}
{17180205047, 711}
{42949924872, 333}
{42949884381, 235}
{17180168833, 237}
{51539741896, 264}
{17180205048, 745}
{8590329493, 210}
{25769863248, 267}
{17180265457, 205}
{60129590482, 210}
{25769965317, 320}
{25769965318, 319}
{17180168834, 226}
{17180265458, 202}
{8590329494, 210}
{25769863249, 269}
{51539741897, 255}
{42949924873, 330}
{42949884382, 233}
{17180205049, 750}
{17180265459, 214}
{25769965319, 318}
{42949884383, 234}
{8590329495, 207}
{51539741898, 247}
{17180168835, 212}
{42949924874, 328}
{51539741899, 233}
{17180168836, 225}
{42949884384, 229}
{42949924875, 327}
{42949924876, 322}
{17180205880, 235}
{25770119781, 203}
{42949884385, 228}
{17180168837, 223}
{25770119782, 202}
{42949925650, 202}
{17180036140, 525}
{51539741170, 201}
{17180205881, 235}
{42949884386, 237}
{17180168838, 222}
{42949924877, 309}
{17180205430, 705}
{51539966865, 208}
{17180205431, 632}
{51539966866, 206}
{42950002563, 223}
{17180205882, 235}
{17180168839, 225}
{25769813636, 219}
{25770119783, 208}
{17180036141, 510}
{42949884387, 239}
{42949924878, 300}
{25769813637, 246}
{17180036142, 480}
{42949884388, 239}
{8590164538, 210}
{25770119784, 211}
{17180205432, 600}
{42949924879, 268}
{17180205883, 235}
{25769813638, 255}
{17180036143, 441}
{8590164539, 210}
{17180205884, 235}
{51539966868, 202}
{42949884389, 245}
{17180205433, 555}
{25770119785, 214}
{25770119786, 218}
{17180205434, 457}
{17180205885, 239}
{25769966270, 479}
{17180036144, 404}
{51539966869, 201}
{17180205886, 256}
{25770119787, 221}
{25769966271, 493}
{17180036145, 349}
{17180205435, 408}
{25769966272, 496}
{25770119788, 221}
{17180036146, 322}
{17180205887, 277}
{25770239064, 202}
{8589955545, 268}
{17180205436, 346}
{8589955546, 263}
{25770239065, 209}
{17180205437, 304}
{17180036147, 295}
{25770119789, 218}
{17180205888, 291}
{25769966273, 499}
{25770239066, 211}
{17180036148, 290}
{25769966274, 499}
{8589955547, 259}
{17180205438, 281}
{17180205889, 311}
{60129591268, 345}
{60129591269, 399}
{25769966275, 501}
{8589955548, 252}
{17180205439, 264}
{17180036149, 280}
{8589955549, 206}
{25769966320, 509}
{25769966276, 503}
{25769966321, 509}
{17180085750, 236}
{376505, 233}
{25769966277, 504}
{25769966278, 512}
{25769966322, 508}
{34360024458, 270}
{376506, 225}
{17180085751, 260}
{17180205820, 334}
{25769966279, 517}
{34360126410, 371}
{17180205776, 208}
{51539872141, 204}
{25769966323, 500}
{17180085752, 296}
{34360024459, 283}
{25769966324, 493}
{17180205821, 327}
{51539712554, 204}
{17180205777, 215}
{17180009144, 209}
{17180085753, 322}
{51539872142, 206}
{34360126411, 341}
{25769966325, 489}
{17180205822, 325}
{51539712555, 211}
{34360126412, 310}
{17180205778, 218}
{17180085754, 392}
{51539872143, 201}
{17180009145, 217}
{51539712556, 221}
{17180205779, 219}
{60129577073, 205}
{25769966326, 431}
{34360126413, 310}
{17180205823, 328}
{17180009146, 220}
{17180085755, 441}
{25769966327, 317}
{60129577074, 209}
{51539712557, 225}
{17180205824, 330}
{17180085756, 445}
{17180009147, 223}
{34360126414, 292}
{17180009148, 218}
{60129577075, 217}
{17180085757, 454}
{25769966328, 284}
{17180205050, 738}
{25769863250, 271}
{17180085801, 202}
{17180205825, 330}
{51539712558, 233}
{17180085758, 461}
{17180205051, 706}
{17180085802, 215}
{51539965144, 201}
{60129577076, 227}
{25769966329, 280}
{17180205826, 327}
{25769863251, 271}
{17180265460, 215}
{51539712559, 234}
{25769965320, 317}
{60129577077, 234}
{25769965321, 315}
{17180205052, 634}
{17180085803, 216}
{17180085759, 460}
{17180205827, 321}
{25769863252, 269}
{17180265461, 216}
{51539965145, 204}
{17180085804, 231}
{17180205828, 319}
{60129577078, 242}
{17180205053, 619}
{25769863253, 266}
{25769965322, 313}
{51539965146, 202}
{17180265462, 216}
{60129831002, 205}
{17180205829, 316}
{51540002198, 201}
{60129831003, 204}
{17180085805, 233}
{51539965147, 206}
{8590367740, 237}
{17180265463, 211}
{17180205054, 601}
{25769863254, 265}
{25769965323, 304}
{17180265464, 206}
{17180168840, 255}
{51540002199, 209}
{17180085806, 232}
{17180205055, 555}
{8590367741, 235}
{25769965324, 299}
{25769863255, 255}
{17180205056, 453}
{42949924880, 239}
{8590367742, 232}
{17180168841, 250}
{17180085807, 230}
{25769965325, 298}
{25769863256, 247}
{25769863257, 238}
{17180205057, 320}
{8590164540, 210}
{42949924881, 228}
{17180168842, 239}
{42949884390, 252}
{17180085808, 230}
{25769965326, 295}
{8590367743, 230}
{25769965327, 289}
{17180085809, 232}
{8590164541, 210}
{17180205058, 301}
{8590367744, 226}
{42949924882, 210}
{51539966870, 203}
{42949884391, 260}
{25769863258, 232}
{17180168843, 231}
{42949884392, 264}
{17180168844, 208}
{17180205059, 281}
{25769965328, 284}
{51539966871, 203}
{25769863259, 226}
{8590367745, 220}
{8590164542, 210}
{42949884393, 284}
{17180205393, 233}
{51539966872, 204}
{8590164543, 210}
{8590367746, 219}
{25769965329, 235}
{25770119790, 220}
{8590164544, 210}
{51539966873, 209}
{60129567211, 201}
{42949884394, 290}
{17180205394, 244}
{8590367747, 207}
{34360126642, 293}
{25770119791, 222}
{17180205395, 272}
{8590164545, 210}
{42949884395, 291}
{42950103416, 207}
{60129567212, 204}
{17180205890, 338}
{17180205396, 290}
{60129591270, 399}
{17180205891, 357}
{34360126643, 368}
{25770119792, 223}
{17180205440, 250}
{42950103417, 202}
{60129567213, 206}
{42949884396, 291}
{60129591271, 399}
{17180205892, 371}
{25770119793, 220}
{17180205397, 298}
{60129567214, 208}
{42949884397, 291}
{34360126644, 490}
{17180205441, 243}
{34360126645, 514}
{60129567215, 208}
{17180205398, 316}
{42949884398, 280}
{17180205442, 239}
{25770119794, 209}
{60129591272, 409}
{17180205893, 384}
{25770119795, 202}
{60129567216, 209}
{17180205443, 233}
{17180205399, 330}
{60129591273, 389}
{34360126646, 532}
{42949884399, 268}
{17180205894, 397}
{34360024460, 285}
{17180205444, 223}
{34360126647, 541}
{379137, 203}
{318170, 202}
{60129567217, 208}
{60129591274, 389}
{25769966280, 519}
{17180205895, 406}
{17180205896, 412}
{34360126648, 537}
{34360024461, 291}
{318171, 216}
{379138, 208}
{17180205445, 215}
{60129591275, 389}
{25769966281, 518}
{34360024462, 293}
{34360023733, 248}
{34360126649, 506}
{17180205897, 419}
{379139, 208}
{60129591276, 336}
{318172, 220}
{25769966282, 515}
{318173, 228}
{17180205780, 220}
{34360024463, 303}
{25769966283, 513}
{17180205898, 423}
{34360023734, 249}
{34360023735, 243}
{34360024464, 303}
{25769966284, 514}
{17180205899, 426}
{318174, 231}
{17180205781, 222}
{318175, 237}
{17180205782, 223}
{34360024465, 307}
{8590365740, 219}
{25769966285, 514}
{25769966330, 275}
{25769966286, 513}
{318176, 273}
{51539712560, 238}
{8590365741, 223}
{17180205783, 233}
{34360024466, 329}
{17180205784, 239}
{17180085760, 452}
{25769966331, 274}
{8590365742, 217}
{34360024467, 340}
{51539712561, 244}
{318177, 275}
{25769966287, 514}
{17180085761, 466}
{8590365743, 207}
{34360024468, 339}
{51539712562, 242}
{25769966288, 514}
{25769966332, 272}
{318178, 276}
{17180205785, 244}
{17180270800, 202}
{25769966289, 514}
{42949925717, 214}
{8590365744, 207}
{17180085762, 467}
{17180205786, 257}
{17180205830, 313}
{34360024469, 337}
{25769966333, 270}
{51539712563, 243}
{17180270801, 226}
{318179, 287}
{42949925718, 208}
{17180205831, 310}
{42949925105, 204}
{17180085763, 472}
{17180205787, 272}
{51539712564, 242}
{17180270802, 241}
{25769966334, 262}
{51539712565, 245}
{17180205832, 308}
{17180085764, 473}
{25769966335, 260}
{17180205788, 295}
{42949925106, 214}
{17180270803, 251}
